Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto-si982-2024-rec-u2-proyectowebu2_soto_llantay,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-proyectowebu2_soto_llantay,JavaScript,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u2-conchaticahuanca,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-conchaticahuanca,C#,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u2-proyectowebii-valverde-lizarraga,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-proyectowebii-valverde-lizarraga,JavaScript,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u2-proyectou2_web2_medina_zevallos,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-proyectou2_web2_medina_zevallos,JavaScript,False,False,False,True,False,False,False,False,False
proyecto-si982-2024-rec-u3-sistemaveterinaria_ccalli_apaza_web2,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-sistemaveterinaria_ccalli_apaza_web2,C#,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u3-gestiondocentes_delacruz_vela_web2,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-gestiondocentes_delacruz_vela_web2,TSQL,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u3-sistemaloppify,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-sistemaloppify,JavaScript,False,True,True,True,False,False,False,True,False
proyecto-si982-2024-rec-u3-reservas-aula-labs-valverde-lizarraga,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-reservas-aula-labs-valverde-lizarraga,JavaScript,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u3-concha-ticahuancau3,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-concha-ticahuancau3,C#,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u3-proyectou3_web2_medina_zevallos,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u3-proyectou3_web2_medina_zevallos,JavaScript,False,False,False,True,False,False,False,False,False
